            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2459082.500000000, A.D. 2020-Aug-21 00:00:00.0000, -1.672864002266924E+08, -9.451679781592657E+07, -9.463163395877443E+06,  6.87682779E+00,  1.60119536E+01,  3.45884073E+00,
2459083.500000000, A.D. 2020-Aug-22 00:00:00.0000, -1.665073139789084E+08, -9.645919334260710E+07, -9.671147755767204E+06,  6.99973841E+00,  1.59472896E+01,  3.55358674E+00,
2459084.500000000, A.D. 2020-Aug-23 00:00:00.0000, -1.657051989881703E+08, -9.838804263485986E+07, -9.877786151680656E+06,  7.12101344E+00,  1.58808152E+01,  3.64820574E+00,
2459085.500000000, A.D. 2020-Aug-24 00:00:00.0000, -1.648802761037650E+08, -1.003031434912606E+08, -1.008305640386561E+07,  7.24063349E+00,  1.58125638E+01,  3.74265464E+00,
2459086.500000000, A.D. 2020-Aug-25 00:00:00.0000, -1.640327660415365E+08, -1.022042967935092E+08, -1.028693665876725E+07,  7.35857993E+00,  1.57425686E+01,  3.83689356E+00,
2459087.500000000, A.D. 2020-Aug-26 00:00:00.0000, -1.631628893689553E+08, -1.040913064462487E+08, -1.048940538272625E+07,  7.47483488E+00,  1.56708632E+01,  3.93088546E+00,
2459088.500000000, A.D. 2020-Aug-27 00:00:00.0000, -1.622708664915206E+08, -1.059639793179716E+08, -1.069044135578687E+07,  7.58938120E+00,  1.55974809E+01,  4.02459579E+00,
2459089.500000000, A.D. 2020-Aug-28 00:00:00.0000, -1.613569176404503E+08, -1.078221251830062E+08, -1.089002366561417E+07,  7.70220246E+00,  1.55224548E+01,  4.11799223E+00,
2459090.500000000, A.D. 2020-Aug-29 00:00:00.0000, -1.604212628616122E+08, -1.096655566645748E+08, -1.108813170152004E+07,  7.81328294E+00,  1.54458184E+01,  4.21104447E+00,
2459091.500000000, A.D. 2020-Aug-30 00:00:00.0000, -1.594641220056533E+08, -1.114940891789158E+08, -1.128474514859743E+07,  7.92260757E+00,  1.53676047E+01,  4.30372397E+00,
2459092.500000000, A.D. 2020-Aug-31 00:00:00.0000, -1.584857147192841E+08, -1.133075408804616E+08, -1.147984398196150E+07,  8.03016198E+00,  1.52878469E+01,  4.39600379E+00,
2459093.500000000, A.D. 2020-Sep-01 00:00:00.0000, -1.574862604376780E+08, -1.151057326080626E+08, -1.167340846109717E+07,  8.13593244E+00,  1.52065781E+01,  4.48785843E+00,
2459094.500000000, A.D. 2020-Sep-02 00:00:00.0000, -1.564659783779468E+08, -1.168884878322478E+08, -1.186541912431255E+07,  8.23990586E+00,  1.51238312E+01,  4.57926372E+00,
2459095.500000000, A.D. 2020-Sep-03 00:00:00.0000, -1.554250875336526E+08, -1.186556326035127E+08, -1.205585678329657E+07,  8.34206976E+00,  1.50396392E+01,  4.67019664E+00,
2459096.500000000, A.D. 2020-Sep-04 00:00:00.0000, -1.543638066703223E+08, -1.204069955016246E+08, -1.224470251778062E+07,  8.44241229E+00,  1.49540349E+01,  4.76063525E+00,
2459097.500000000, A.D. 2020-Sep-05 00:00:00.0000, -1.532823543219274E+08, -1.221424075859344E+08, -1.243193767030263E+07,  8.54092221E+00,  1.48670510E+01,  4.85055859E+00,
2459098.500000000, A.D. 2020-Sep-06 00:00:00.0000, -1.521809487882963E+08, -1.238617023466851E+08, -1.261754384107327E+07,  8.63758882E+00,  1.47787201E+01,  4.93994658E+00,
2459099.500000000, A.D. 2020-Sep-07 00:00:00.0000, -1.510598081334270E+08, -1.255647156573072E+08, -1.280150288294246E+07,  8.73240205E+00,  1.46890747E+01,  5.02877996E+00,
2459100.500000000, A.D. 2020-Sep-08 00:00:00.0000, -1.499191501846672E+08, -1.272512857276884E+08, -1.298379689646599E+07,  8.82535237E+00,  1.45981474E+01,  5.11704022E+00,
2459101.500000000, A.D. 2020-Sep-09 00:00:00.0000, -1.487591925327345E+08, -1.289212530584094E+08, -1.316440822507075E+07,  8.91643080E+00,  1.45059704E+01,  5.20470953E+00,
2459102.500000000, A.D. 2020-Sep-10 00:00:00.0000, -1.475801525325451E+08, -1.305744603959330E+08, -1.334331945031762E+07,  9.00562890E+00,  1.44125758E+01,  5.29177071E+00,
2459103.500000000, A.D. 2020-Sep-11 00:00:00.0000, -1.463822473048250E+08, -1.322107526887373E+08, -1.352051338726114E+07,  9.09293879E+00,  1.43179959E+01,  5.37820715E+00,
2459104.500000000, A.D. 2020-Sep-12 00:00:00.0000, -1.451656937384770E+08, -1.338299770443815E+08, -1.369597307990495E+07,  9.17835309E+00,  1.42222625E+01,  5.46400279E+00,
2459105.500000000, A.D. 2020-Sep-13 00:00:00.0000, -1.439307084936771E+08, -1.354319826874932E+08, -1.386968179675163E+07,  9.26186495E+00,  1.41254075E+01,  5.54914207E+00,
2459106.500000000, A.D. 2020-Sep-14 00:00:00.0000, -1.426775080056773E+08, -1.370166209186677E+08, -1.404162302644649E+07,  9.34346801E+00,  1.40274626E+01,  5.63360989E+00,
2459107.500000000, A.D. 2020-Sep-15 00:00:00.0000, -1.414063084892894E+08, -1.385837450742674E+08, -1.421178047351377E+07,  9.42315641E+00,  1.39284594E+01,  5.71739161E+00,
2459108.500000000, A.D. 2020-Sep-16 00:00:00.0000, -1.401173259440300E+08, -1.401332104871110E+08, -1.438013805418442E+07,  9.50092480E+00,  1.38284292E+01,  5.80047298E+00,
2459109.500000000, A.D. 2020-Sep-17 00:00:00.0000, -1.388107761599025E+08, -1.416648744480424E+08, -1.454667989231458E+07,  9.57676828E+00,  1.37274035E+01,  5.88284013E+00,
2459110.500000000, A.D. 2020-Sep-18 00:00:00.0000, -1.374868747237966E+08, -1.431785961683679E+08, -1.471139031539340E+07,  9.65068243E+00,  1.36254133E+01,  5.96447957E+00,
2459111.500000000, A.D. 2020-Sep-19 00:00:00.0000, -1.361458370264865E+08, -1.446742367431519E+08, -1.487425385063952E+07,  9.72266331E+00,  1.35224896E+01,  6.04537812E+00,
2459112.500000000, A.D. 2020-Sep-20 00:00:00.0000, -1.347878782702071E+08, -1.461516591153612E+08, -1.503525522118498E+07,  9.79270742E+00,  1.34186634E+01,  6.12552294E+00,
2459113.500000000, A.D. 2020-Sep-21 00:00:00.0000, -1.334132134767905E+08, -1.476107280408462E+08, -1.519437934234561E+07,  9.86081171E+00,  1.33139654E+01,  6.20490148E+00,
2459114.500000000, A.D. 2020-Sep-22 00:00:00.0000, -1.320220574963461E+08, -1.490513100541507E+08, -1.535161131797688E+07,  9.92697358E+00,  1.32084261E+01,  6.28350147E+00,
2459115.500000000, A.D. 2020-Sep-23 00:00:00.0000, -1.306146250164675E+08, -1.504732734351397E+08, -1.550693643691438E+07,  9.99119085E+00,  1.31020759E+01,  6.36131092E+00,
2459116.500000000, A.D. 2020-Sep-24 00:00:00.0000, -1.291911305719488E+08, -1.518764881764351E+08, -1.566034016949784E+07,  1.00534618E+01,  1.29949451E+01,  6.43831808E+00,
2459117.500000000, A.D. 2020-Sep-25 00:00:00.0000, -1.277517885549974E+08, -1.532608259516506E+08, -1.581180816417737E+07,  1.01137850E+01,  1.28870639E+01,  6.51451145E+00,
2459118.500000000, A.D. 2020-Sep-26 00:00:00.0000, -1.262968132259260E+08, -1.546261600844167E+08, -1.596132624420208E+07,  1.01721598E+01,  1.27784621E+01,  6.58987976E+00,
